Nr,Date,Time,f [Hz],Signal,Noise
1,2023-06-09,15:08:02.606,-1.0,0,5016.200471180735
1,2023-06-09,15:08:02.613,1018.1324337436021,130535.47828943032,3172.5169089894544
1,2023-06-09,15:08:02.621,1023.8399297690999,212505.42795670548,3717.3521039515745
1,2023-06-09,15:08:02.628,1014.114758360388,101427.50625450346,3827.9597655831694
1,2023-06-09,15:08:02.643,1020.5617344020712,63390.90124387969,1645.347523287344
1,2023-06-09,15:08:02.658,1009.9390958644781,99246.17260174762,2674.5507098585667
1,2023-06-09,15:08:02.673,-1.0,0,3531.075336392352
1,2023-06-09,15:08:02.688,1012.830245989953,154598.00357568043,4259.784055932736
1,2023-06-09,15:08:02.696,1007.5177562527723,88526.49077952109,2684.5683544350595
Nr,Date,Time,f [Hz],Signal,Noise
1,2023-06-09,15:11:00.674,-1.0,0,2487.951459344108
1,2023-06-09,15:11:00.689,1008.6127428612124,102506.75759164432,2186.771758560144
1,2023-06-09,15:11:00.704,1015.2832458536475,228644.0978801279,4372.242095631692
1,2023-06-09,15:11:00.719,1022.6852735725238,313542.88945416483,5979.605705924575
1,2023-06-09,15:11:00.727,1011.7089405139127,136945.46991657396,3476.9602757925513
1,2023-06-09,15:11:00.734,994.7210421379532,35485.56602363183,2375.768605106835
1,2023-06-09,15:11:00.741,1028.7266873658855,48404.59826586311,3346.1823821425955
1,2023-06-09,15:11:00.749,-1.0,0,1996.7057746707787
Nr,Date,Time,f [Hz],Signal,Noise
1,2023-06-09,15:15:13.099,-1.0,0,4388.043962852748
1,2023-06-09,15:15:13.114,945.8506451260658,153676.16765291346,5455.768117012771
1,2023-06-09,15:15:13.129,982.0446636624459,330887.10609574505,4160.83677849419
1,2023-06-09,15:15:13.136,996.9093397653385,822317.759066963,2543.6095930103065
1,2023-06-09,15:15:13.143,1017.9229081688229,2553409.0872193873,2285.2894233478
1,2023-06-09,15:15:13.151,1033.7911843373429,6100575.8195145745,3100.287574278128
1,2023-06-09,15:15:13.158,1032.1816403046253,2953681.1940174177,4765.636694036117
